Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684507117941
Timestamp end: 1684508318443

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      399.9   290.3   160.7   217.3   231.6   360.2   457.8   502.7   530.1   558.8   591.9   642.1   765.5  2502.1 13121.8  26404.9    26385
read      404.4   246.4   160.7   220.5   236.4   378.3   466.4   504.4   528.8   554.2   585.5   633.1   756.6  2358.8 10583.2  22584.4    22616
read      372.2   259.1   160.7   211.3   225.0   319.9   391.5   447.6   491.4   538.0   586.8   648.9   788.3  2359.8 10021.0  50498.1    50605
read      333.4   176.3   160.7   209.0   221.9   301.6   350.6   382.0   406.4   439.1   484.8   552.9   692.4  1320.1  7272.7  90249.0    90283
read      402.2   233.1   160.7   219.6   234.8   366.1   465.4   510.7   537.4   566.5   599.5   647.2   768.6  1482.7  9967.9  26252.3    26273
read      375.1   221.8   160.7   215.2   229.2   328.3   399.7   454.7   496.4   540.4   587.2   647.0   782.0  1267.5  8960.8  48515.0    48521
read      392.9   252.4   160.7   216.8   231.0   344.6   441.2   496.0   529.3   563.1   600.3   655.2   780.2  2242.9 10099.9  34031.0    34058
read      349.9   175.4   160.7   211.5   224.9   313.9   370.0   406.3   436.2   475.3   528.0   596.5   735.1  1179.0  7676.1  75592.4    75648
read      417.6   324.3   160.7   226.1   243.8   397.5   476.9   512.4   535.1   560.3   590.8   640.4   775.8  3582.6 13851.7  19471.2    19482
read      423.0   324.0   160.7   231.3   252.0   409.1   469.7   499.5   520.0   542.7   573.2   620.8   748.9  4845.7 12911.9  15020.4    15054
read      342.8   178.2   160.7   209.9   222.9   306.4   359.9   395.7   426.0   465.5   518.6   588.6   722.6  1243.0  7572.4  75759.9    75754
read      419.2   434.3   173.5   270.4   295.3   383.3   420.6   441.7   459.1   479.9   510.2   571.9   748.8  7864.4 15805.4   5156.9     5187
read      421.3   290.0   160.7   229.0   250.3   402.9   473.1   506.7   529.0   551.8   584.3   632.1   755.1  3881.1 11430.0  17583.9    17656
read      330.4   159.4   160.7   209.6   222.5   301.5   349.0   378.8   401.7   431.7   472.3   538.8   673.3  1189.4  7267.6  96293.2    96343
read      386.1   231.1   160.7   213.3   227.4   335.2   431.0   490.6   527.0   563.0   602.2   655.6   777.3  1391.0 10313.5  36557.7    36665
read      338.4   163.9   160.7   210.0   223.0   305.4   356.8   390.1   416.9   451.9   499.4   570.6   707.3  1179.2  6450.7  85173.9    85269
read      402.1   289.2   160.7   219.9   235.0   353.7   454.7   507.7   539.0   571.9   609.9   664.7   792.8  2193.7 12435.8  31522.5    31525
read      366.7   206.5   160.7   216.5   230.2   324.4   385.5   429.5   466.5   512.6   566.4   633.6   766.4  1309.5  8693.6  61782.1    61798
read      427.6   336.4   160.7   240.6   263.8   414.1   468.8   496.7   515.8   538.8   568.8   617.7   747.3  4090.9 15399.5  12335.0    12253
read      416.3   251.1   160.7   223.6   241.3   383.3   474.9   518.8   546.3   576.7   613.1   668.1   804.9  2527.7 10281.6  25721.1    25710
