Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      429.1   448.2   160.7   209.7   224.2   335.5   428.2   495.9   547.7   614.4   708.0   893.1  1431.9  5070.5 13885.9  61978.8    61949
read      347.2   272.6   160.7   208.6   221.8   304.0   354.3   388.0   415.8   453.5   505.6   585.4   899.9  2598.0  9244.5  87435.9    87359
read      485.0   909.9   160.7   227.8   249.1   416.1   487.6   521.8   543.8   571.9   607.0   667.3  2091.8 10973.9 35139.4  10948.0    10901
read      424.6   481.8   160.7   214.3   228.8   334.9   390.4   425.2   455.6   498.6   572.3  1094.3  1779.1  5084.1 13971.4  94820.2    94842
read      383.0   324.9   148.8   209.0   222.6   313.3   377.4   427.7   469.7   524.9   595.3   734.9  1270.1  3165.0 10950.4  72647.4    72605
read      384.6   412.5   160.7   210.2   223.7   311.8   362.2   395.5   425.1   466.5   530.9   645.2  1740.0  4599.2 11058.7  84955.1    84828
read      453.5   550.4   160.7   215.6   232.5   393.0   497.5   550.8   587.7   626.6   671.2   737.4  1004.6  7453.1 29205.8  20815.2    20798
read      397.3   354.6   160.7   210.0   224.0   316.4   379.6   429.5   473.7   534.6   621.1   841.5  1523.7  2998.9 11342.2  80141.3    80234
read      397.8   335.6   160.7   209.4   223.0   319.4   396.6   458.5   507.3   564.0   635.0   780.8  1310.5  3840.0 12387.7  61215.9    61141
read      374.9   313.8   160.7   210.4   223.9   313.7   372.4   414.7   451.3   499.4   565.2   685.4  1264.3  2793.2  9573.4  80422.4    80390
read      483.2   759.5   160.7   216.9   233.9   402.4   513.9   576.1   618.0   661.1   709.7   785.9  1177.7 10377.9 31648.6  21721.0    21672
read      475.1   472.2   160.7   214.9   231.2   393.6   506.0   577.1   632.9   697.8   782.7   913.9  1393.1  5626.1 15401.5  43883.3    43890
read      439.7   507.1   173.5   262.9   288.8   402.9   448.3   471.7   492.2   514.3   544.4   594.6  1011.1  7573.0 29413.2   5314.6     5333
read      455.4   329.1   160.7   233.8   257.7   432.0   515.3   554.6   581.6   612.1   647.9   702.0   853.4  4914.4 13111.4  11621.4    11671
read      479.4   373.5   160.7   217.9   234.5   410.6   529.1   600.7   655.5   722.5   803.9   925.3  1255.6  2984.4 12655.8  32989.8    32970
read      451.2   329.1   160.7   218.8   236.6   407.8   518.1   574.2   611.1   648.6   691.3   763.2   940.1  3982.9 12845.4  21588.7    21506
read      445.8   385.2   160.7   219.5   237.4   409.8   512.7   561.6   593.9   628.1   667.8   727.4   868.5  5102.9 16605.0  19199.6    19175
read      385.2   302.3   160.7   213.3   227.1   320.5   389.0   440.3   484.5   538.4   606.7   719.1  1081.0  3551.4  8513.6  69171.2    68977
read      430.4   390.5   160.7   220.6   236.6   391.1   484.1   525.8   552.0   583.3   625.3   699.3   949.1  4440.2 17060.6  20749.2    20688
read      401.2   358.9   160.7   212.1   226.0   325.4   413.7   482.4   531.1   581.9   639.5   740.4  1079.2  4726.6  9648.8  50182.1    50117
